name,pick,season,ftm,fta,3fgm,3fga,rim_made,rim_miss,mid_made,mid_miss,dunks_made,dunks_miss,oreb,dreb,ast,stl,blks,pts,gp,height,rec_rank,mpg,age,tov,sos,team_strength,international,NBA_impact,standard_error,NBA_minutes,NBA_seasons,NCAA_possessions_est
Kon Knueppel,4,2025,117,128,84,207,75,42,20,29,2,3,40,116,107,40,6,563,39,79,97,30.5,19.5,53,7.2,23.6,0,5,2.2,2511,1,1982
DeMarcus Cousins,5,2010,162,268,1,6,91,41,57,106,53,4,154,220,38,37,67,575,38,83,99.6,23.5,19.3,78,6.2,16.6,0,0.5,1,19489,11,1560
Thomas Robinson,5,2012,163,239,7,14,99,80,80,149,70,13,113,350,72,42,34,692,39,81,94.6,31.8,20.9,104,8.1,17.5,0,-4.1,1.6,4299,5,2088
Alex Len,5,2013,105,153,1,8,60,43,45,97,67,4,109,189,37,8,78,452,38,85,0,26.4,19.6,60,4.5,8.7,0,-2.6,1.1,11863,12,1687
Kris Dunn,5,2016,132,190,42,113,72,56,42,96,27,2,36,140,206,82,20,542,33,76,97,33,21.8,116,6.4,7.2,0,-0.3,1.1,11782,10,1896
De'Aaron Fox,5,2017,156,211,17,69,111,71,66,110,20,1,21,122,165,53,7,601,36,75,99,29.6,19.1,87,6.5,16.5,0,1.7,1,20118,9,1982
Trae Young,5,2018,236,274,118,327,105,96,38,51,0,0,14,111,277,54,8,876,32,74,95.6,35.4,19.3,167,6.9,7.5,0,2.1,1.1,18130,8,2157
Darius Garland,5,2019,12,16,11,23,10,6,8,7,0,0,2,17,13,4,2,81,5,74,97.4,27.8,18.8,15,0.2,-0.9,0,1.6,1.2,14785,7,264
Isaac Okoro,5,2020,90,134,20,70,82,44,4,21,19,4,53,71,57,26,25,360,28,78,93,31.4,19,55,4.9,9.6,0,-0.4,1.2,10879,6,1548
Jalen Suggs,5,2021,86,114,35,104,88,55,22,28,9,1,18,142,136,57,10,429,30,76,98.2,28.9,19.7,88,5,19.7,0,1,1.5,7355,5,1606
Jaden Ivey,5,2022,154,207,64,179,82,49,29,71,28,3,24,152,110,33,20,624,36,76,84.4,31.4,20,94,6.1,13.5,0,-1.9,1.5,5995,4,1885
Ace Bailey,5,2025,74,107,47,136,40,39,92,108,24,2,62,153,38,30,38,527,30,82,99.8,33.3,18.4,61,8,5.2,0,0.5,2.1,2031,1,1740
Ekpe Udoh,6,2010,110,159,7,26,48,29,100,149,30,2,126,214,96,29,131,487,35,82,47.4,35.5,22.3,86,7.1,15,0,-2.5,1.5,5730,7,2081
Damian Lillard,6,2012,215,243,86,217,85,67,31,56,13,4,16,128,123,45,7,731,30,74,57.4,35.3,21.5,69,-1.9,2.7,0,4.3,0.8,35134,13,1773
Willie Cauley-Stein,6,2015,79,128,0,0,37,30,30,66,69,5,89,162,38,47,67,349,39,84,91.6,25.9,21.5,48,6.6,25.2,0,-1.3,1.2,9229,7,1606
Marcus Smart,6,2014,182,250,49,164,62,30,36,77,16,2,44,139,148,89,18,557,31,76,98.2,32.7,20.3,82,5.8,13.5,0,1.6,0.9,23933,12,1761
Nerlens Noel,6,2013,55,104,0,0,28,21,22,45,48,2,65,162,38,50,106,251,24,82,100,31.9,18.7,45,3.8,10.1,0,-1,1.2,10385,9,1303
Buddy Hield,6,2016,176,200,147,322,101,55,35,66,18,4,46,166,75,42,18,925,37,76,69,35.4,23.1,113,8.3,14,0,-1.1,0.9,21319,10,2312
Jonathan Isaac,6,2017,92,118,31,89,39,29,26,34,34,5,56,195,37,37,49,383,32,82,98.6,26.2,19.3,48,7.1,12.3,0,1.8,1.4,6479,7,1515
Mohamed Bamba,6,2018,81,119,14,51,44,31,23,52,65,3,96,220,15,23,109,387,30,83,99.6,30.2,19.7,46,7.3,8.6,0,-2.1,1.5,6103,8,1506
Jarrett Culver,6,2019,147,208,49,161,119,73,58,111,28,1,54,189,141,55,21,704,38,77,37.8,32.4,19.9,103,7.4,18.3,0,-2.4,1.9,2493,4,2074
Onyeka Okongwu,6,2020,103,143,1,4,77,48,39,55,58,3,92,150,30,34,76,456,28,81,95.2,30.6,19.1,56,4.8,7.2,0,1.3,1.3,9535,6,1498
Bennedict Mathurin,6,2022,136,178,83,223,73,59,24,62,38,4,51,157,94,36,10,655,37,78,77,32.5,19.6,66,4.4,16.3,1,-0.9,1.4,7945,4,2180
Anthony Black,6,2023,134,190,28,93,69,53,28,60,24,2,45,137,141,74,22,460,36,79,96.6,34.4,19,109,6.9,11.3,0,-0.2,1.7,4859,3,2161
Tre Johnson,6,2025,121,139,89,224,51,35,77,127,7,4,11,92,90,31,10,658,33,78,99.2,34.7,18.9,60,8.3,9.7,0,1.1,2.3,1390,1,1951
Greg Monroe,7,2010,138,209,7,27,133,83,33,69,21,1,74,254,128,42,52,549,34,83,98.6,34.2,20.3,112,8.4,13.5,0,-0.1,1,17863,10,1939
Harrison Barnes,7,2012,141,195,49,137,32,24,113,180,34,0,74,124,43,41,13,648,38,80,100,29.2,19.7,74,5.9,16.6,0,-0.8,0.8,34940,14,2003
Ben McLemore,7,2013,120,138,73,174,46,35,35,65,44,1,47,145,73,37,25,589,37,77,92.4,32.2,20,77,5.7,16.7,0,-3.1,1.1,12656,9,2018
Julius Randle,7,2014,204,289,3,18,95,62,61,115,37,3,140,277,57,20,31,599,40,81,99.8,30.8,19.2,101,7.4,13.5,0,-0.3,0.9,26177,12,2020
Jamal Murray,7,2016,119,152,113,277,59,33,54,96,18,1,53,133,79,35,11,720,36,76,98.2,35.2,18.9,84,6,14.8,0,1.6,1,22197,9,2161
Lauri Markkanen,7,2017,137,164,69,163,45,31,51,62,20,4,88,178,32,15,19,576,37,84,93,30.8,19.7,40,5.2,13.4,1,2,1,15319,9,1909
Wendell Carter Jr.,7,2018,124,168,19,46,64,53,40,57,56,2,109,226,74,30,76,501,37,82,98.8,26.8,18.8,75,7,17.9,0,0.4,1.2,12779,8,1746
Coby White,7,2019,104,130,82,233,61,32,40,72,5,1,12,112,143,38,11,562,35,77,95.2,28.6,19,94,9,16.8,0,0.4,1.1,13959,7,1878
Donovan Clingan,7,2024,81,139,2,8,109,63,27,32,48,4,87,171,53,18,86,455,35,86,90.2,22.5,20,28,6,20.4,0,3.2,1.9,3318,2,1296
Jeremiah Fears,7,2025,183,215,38,134,88,85,45,53,9,1,25,116,140,56,4,581,34,76,87.4,30.2,18.3,116,7.3,8.6,0,0.7,2.2,2137,1,1798
Al-Farouq Aminu,8,2010,139,199,18,66,66,59,37,98,46,2,133,199,41,44,44,491,31,81,98.4,31.3,20.3,99,7.3,8.9,0,0.1,1,18743,11,1708
Brandon Knight,8,2011,136,171,87,231,60,51,65,100,5,1,25,128,159,25,8,657,38,75,99.2,35.9,19.2,120,6.7,16.3,0,-2.5,1.1,13132,9,2254
Terrence Ross,8,2012,72,94,72,194,38,21,83,106,22,6,48,177,49,44,33,574,35,78,93.8,31.1,21,70,4.1,7.6,0,-2,1,18799,11,1918
Kentavious Caldwell-Pope,8,2013,135,169,84,225,48,30,39,73,15,1,37,189,58,65,17,591,32,77,97.8,33.9,19.9,64,4.2,2.6,0,0,0.8,30137,13,1695
Nik Stauskas,8,2014,168,204,92,208,38,32,40,59,15,2,15,90,118,20,11,630,36,78,78.2,35.6,20.3,67,7.8,14.1,0,-3.6,1.4,6683,6,2000
Stanley Johnson,8,2015,132,178,43,116,48,55,67,88,16,0,75,172,63,57,15,523,38,78,99.6,28.4,18.7,82,5.3,19.9,0,-1.8,1.2,8948,8,1790
Marquese Chriss,8,2016,89,130,21,60,50,30,56,77,52,13,85,98,26,32,55,470,34,81,88.6,24.9,18.6,69,5.4,6.2,0,-2.7,1.5,5349,6,1652
Collin Sexton,8,2018,196,252,44,131,98,76,49,75,5,3,34,90,119,28,3,632,33,75,99.2,29.9,19,92,6.8,6.8,0,-2.2,1.1,13716,8,1729
Obi Toppin,8,2020,99,141,32,82,60,27,46,57,107,8,37,197,67,30,38,621,31,81,0,31.6,21.9,68,3.3,15.1,0,0,1.4,7702,6,1662
Jaxson Hayes,8,2019,74,100,0,0,31,17,18,28,74,1,56,104,9,19,71,320,32,83,79.8,23.3,18.6,29,8.4,10.3,0,-0.6,1.3,7378,7,1232
Franz Wagner,8,2021,66,79,35,102,52,30,26,39,11,0,20,163,84,35,29,349,28,81,90.2,31.7,19.4,36,6.1,13.8,1,5,1.4,10757,5,1495
Jarace Walker,8,2023,53,80,35,101,39,30,53,85,31,1,82,163,65,35,46,402,36,80,98,27.7,19.4,53,3.7,19.3,0,-2.6,1.8,3603,3,1613
Rob Dillingham,8,2024,78,98,64,144,59,51,45,59,4,0,8,86,125,33,2,486,32,75,97,23.2,19,64,4.3,10.3,0,-1.5,2.3,1522,2,1371
Egor Demin,8,2025,57,82,42,154,52,30,20,37,12,1,10,118,180,38,12,351,33,81,95.4,27.5,18.9,97,7.2,13.1,1,2.4,2.4,1335,1,1543
Gordon Hayward,9,2010,179,216,47,160,70,38,34,43,19,1,72,233,62,40,30,572,37,81,0,33.5,20.3,85,5.5,13.5,0,1,0.9,26507,14,1978
Kemba Walker,9,2011,258,315,75,227,112,81,126,190,3,0,53,170,184,77,7,965,41,73,97.8,37.6,20.7,93,8.2,13.7,0,1.5,1,25633,12,2503
Andre Drummond,9,2012,26,88,0,2,50,46,27,78,80,9,114,143,15,28,92,340,34,82,83.4,28.4,18.4,52,6.3,8.9,0,1,0.9,25659,14,1535
Frank Kaminsky,9,2015,156,200,42,101,106,40,88,119,31,3,58,262,103,33,57,732,39,84,51.8,33.6,21.8,63,8.3,21,0,-1.1,1.3,8352,8,1941
Trey Burke,9,2013,132,164,74,193,58,38,109,137,9,0,20,102,252,61,20,706,38,72,81.6,35.4,20.2,81,8,16.9,0,-2.5,1.2,10545,9,2150
Noah Vonleh,9,2014,96,134,16,33,49,46,24,37,24,3,71,198,18,26,41,338,30,82,98,26.5,18.4,64,4.5,6.9,0,-1.6,1.4,5951,8,1346
Jakob Poeltl,9,2016,161,231,0,0,167,83,23,39,32,2,99,218,67,21,53,605,35,84,0,30.6,20.3,70,5.9,9.7,1,1.8,1.1,14823,10,1792
"Dennis Smith, Jr.",9,2017,143,200,55,153,81,58,33,74,22,0,26,120,197,62,14,580,32,75,98.8,34.8,19.1,108,5.7,2.4,0,-1.6,1.3,7559,7,1993
Rui Hachimura,9,2019,164,222,15,36,127,70,75,96,58,2,51,188,57,35,27,729,37,80,70.6,30.2,20.9,68,4.5,22.3,1,-1.7,1.1,12142,7,1988
Davion Mitchell,9,2021,43,66,63,141,68,41,25,32,2,0,14,66,165,57,11,422,30,74,88.4,32.5,22.4,73,4.9,18.4,0,-1.2,1.3,8828,5,1676
Kevin Knox,9,2018,127,164,57,167,47,32,75,99,18,2,33,167,53,31,10,578,37,81,98,32.4,18.4,85,7,11,0,-3.8,1.5,5674,7,2088
Zach Edey,9,2024,310,436,1,2,105,49,117,147,113,7,181,293,79,11,84,983,39,88,14.6,32,21.7,90,8.2,17.8,0,2.9,2.2,1797,2,2118
Jeremy Sochan,9,2022,53,90,24,81,36,12,25,37,15,5,59,132,53,38,21,277,30,81,77.6,25.1,18.7,47,5.7,16.8,1,-0.9,1.6,5407,4,1303
Taylor Hendricks,9,2023,86,110,61,155,52,47,35,59,36,1,80,157,46,31,57,515,34,81,87.8,34.6,19.2,48,3.4,8.6,0,-0.5,2.1,2062,3,1948
Collin Murray-Boyles,9,2025,133,188,9,34,133,65,30,46,26,4,71,193,77,47,43,538,32,80,82.2,30.6,19.6,78,7.8,5.3,0,1.1,2.4,1250,1,1630
Jimmer Fredette,10,2011,250,280,121,308,107,41,112,187,2,1,23,103,155,48,1,1055,36,74,54.4,36.1,21.9,130,5.1,15.1,0,-4.1,1.8,3205,6,2303
Paul George,10,2010,110,122,58,163,52,32,22,60,18,4,54,148,86,60,24,468,28,80,61.6,33.2,20.3,89,1.3,-0.1,0,4.2,0.8,35803,16,1560
C.J. McCollum,10,2013,62,73,33,64,31,29,29,38,3,0,12,48,35,17,4,287,12,75,9.8,31,21.2,32,-0.5,5.5,0,1,0.8,29870,13,645
Austin Rivers,10,2012,121,184,58,159,79,59,34,68,3,0,21,94,71,33,1,527,34,76,99.8,33.2,19.5,79,6.6,12.5,0,-2.6,0.9,18093,11,1920
Elfrid Payton,10,2014,167,283,14,54,148,75,36,101,21,3,78,122,184,75,18,619,32,75,0,36.9,19.9,121,0.7,3.6,0,-1.3,1.1,13828,9,2074
Justise Winslow,10,2015,100,156,46,110,88,50,15,70,24,1,49,203,82,52,34,492,39,78,97.6,29.1,18.9,71,8.1,20,0,0.8,1.2,9288,8,1860
Mikal Bridges,10,2018,114,134,104,239,74,45,31,44,35,7,54,158,77,61,43,706,40,79,84,32.2,21.4,54,6.8,19.5,0,1.4,1,22933,8,2245
Zach Collins,10,2017,110,148,10,21,75,28,30,29,20,4,66,164,16,18,69,390,39,84,94.2,17.2,19.2,60,2.4,20.9,0,-0.4,1.3,7578,8,1191
Jalen Smith,10,2020,111,148,32,87,65,41,22,45,49,3,99,227,25,22,73,479,31,82,97,31.2,19.8,53,6.6,11.6,0,0.7,1.5,5494,6,1628
Cam Reddish,10,2019,88,114,89,267,34,35,24,61,7,4,20,113,70,56,21,485,36,80,99.8,29.7,19.4,96,8.7,19.7,0,-2.6,1.4,6001,6,1937
Ziaire Williams,10,2021,39,49,23,79,16,22,27,48,10,1,10,81,44,17,11,214,20,80,99.2,27.9,19.3,58,5.6,5.3,0,-1.2,1.5,5921,5,987
Johnny Davis,10,2022,155,196,37,122,73,51,84,144,16,3,41,214,65,36,23,612,31,77,70.6,34.2,19.9,71,6.6,8.6,0,-3.3,2.3,1285,3,1778
Cason Wallace,10,2023,53,70,44,127,41,21,43,69,11,0,30,89,136,63,15,375,32,76,98.6,32.1,19.2,67,5.9,10.1,0,2.7,1.5,6259,3,1709
Cody Williams,10,2024,55,77,17,41,52,19,23,39,15,5,17,55,38,15,16,286,24,80,98.8,28.1,19.2,48,5.4,10.3,0,-2.9,2,2737,2,1154
Khaman Maluach,10,2025,59,77,4,16,39,26,12,7,81,10,107,150,20,8,51,335,39,86,99,21.2,18.4,30,6.7,23.6,1,1.4,2.9,390,1,1380
Cole Aldrich,11,2010,108,159,0,0,60,33,57,82,32,1,110,244,31,27,125,406,36,83,94.8,26.8,21.3,56,6.6,20.2,0,-2.5,1.7,3459,8,1666
Klay Thompson,11,2011,155,185,98,246,58,44,76,119,8,0,25,153,127,56,32,733,34,78,91.8,34.7,21,115,4.7,8.1,0,-0.1,0.8,34943,13,2031
Doug McDermott,11,2014,178,206,96,214,150,70,75,108,9,0,57,187,55,8,5,934,35,80,69.2,33.7,22.1,62,5.1,12.7,0,-3.6,1,14318,12,1921
Meyers Leonard,11,2012,93,127,1,11,58,30,60,76,51,5,73,189,43,15,60,434,32,84,94.2,31.8,19.9,68,7.3,6.3,0,-2.2,1.3,7595,10,1629
Michael Carter-Williams,11,2013,129,186,35,120,66,56,34,92,20,4,51,144,292,111,19,474,40,78,95,35.2,21.3,136,7,16.9,0,-1.5,1.2,10204,9,2280
Domantas Sabonis,11,2016,149,194,5,14,135,55,67,82,22,2,106,308,63,21,31,612,35,83,60.2,32.1,19.7,92,2.8,12.9,1,1.7,1,20839,10,1906
Myles Turner,11,2015,94,112,17,62,29,12,60,81,11,2,44,178,20,10,89,345,34,83,99,22.2,18.8,47,6.7,12.8,0,1.3,0.9,22217,11,1189
Cameron Johnson,11,2019,90,110,96,210,58,26,48,66,9,1,66,142,86,43,10,608,36,81,55.4,29.9,22.9,54,8.4,16.8,0,1.1,1.1,11512,7,2030
Malik Monk,11,2017,148,180,104,262,48,35,75,112,24,4,12,83,87,36,19,754,38,75,98,32.1,19,76,7.1,16.5,0,-2.4,1.1,13414,9,2257
Shai Gilgeous-Alexander,11,2018,143,174,23,57,97,74,52,86,11,0,33,120,189,61,18,532,37,78,94,33.7,19.5,99,7.2,11,0,5.5,1.1,19162,8,2164
Devin Vassell,11,2020,48,65,44,106,25,20,49,66,26,2,38,114,49,42,29,380,30,79,60.2,28.7,19.4,23,5.5,11.9,0,0.2,1.3,10341,6,1486
James Bouknight,11,2021,63,81,22,75,40,27,24,41,12,0,23,62,27,17,4,281,15,77,86.8,31.7,20.4,42,4.3,9.1,0,-1.5,2.5,901,3,784
Cedric Coward,11,2025,26,31,12,30,13,5,8,4,1,0,11,31,22,5,10,106,6,78,0,33,21.2,13,0.5,1.6,0,0.2,2.2,1575,1,373
Jett Howard,11,2023,60,75,78,212,23,18,30,42,6,0,8,74,59,12,19,412,29,80,91.8,31.7,19.3,37,5.2,7.8,0,-2.1,2.3,1426,3,1552
Xavier Henry,12,2010,90,115,69,165,43,30,33,66,17,0,43,114,53,54,18,483,36,78,99,27.5,19.3,69,6.8,20.2,0,-2.4,1.8,2878,5,1714
Alec Burks,12,2011,245,298,28,95,96,62,93,142,26,2,87,152,110,40,11,759,37,78,61.4,31.6,19.5,97,4.9,8.1,0,-1.6,0.9,17997,14,2017
Jeremy Lamb,12,2012,98,121,71,211,44,17,79,79,23,1,32,134,58,42,21,603,34,77,83,37.2,19.6,68,6.4,8.9,0,-0.2,1.1,11871,10,2024
Taurean Prince,12,2016,110,143,53,147,64,44,52,104,14,1,76,120,76,40,24,529,33,80,62.6,30.8,21.8,88,7.1,11,0,-2.4,1,15626,10,1699
Steven Adams,12,2013,31,70,0,0,56,40,15,31,29,4,90,113,20,21,65,231,32,84,99.2,23.4,19.5,35,4.4,16.1,0,2.5,0.9,22018,12,1132
Trey Lyles,12,2015,75,102,4,29,41,17,44,79,28,2,65,123,38,19,16,313,36,82,97.8,23,19.2,41,6.3,25.2,0,-1.5,1.1,12063,10,1319
Luke Kennard,12,2017,160,187,88,201,52,32,94,104,3,0,43,145,91,31,13,722,37,78,96,35.5,20.6,59,7.7,15.1,0,-0.3,1.1,12785,9,2285
Miles Bridges,12,2018,93,110,71,194,54,39,54,83,30,5,43,194,90,21,26,582,34,79,97.8,31.4,19.8,67,4.9,16.3,0,-0.8,1.1,15420,7,1812
PJ Washington,12,2019,118,178,33,78,57,43,67,82,33,4,82,183,63,30,43,531,35,80,97.2,29.3,20.4,69,7.1,16.3,0,-0.4,1.1,14425,7,1717
Tyrese Haliburton,12,2020,37,45,52,124,39,15,26,34,7,1,32,97,142,54,15,335,22,77,65.6,36.7,19.8,61,6.3,4,0,4.1,1.2,12186,5,1440
Jalen Williams,12,2022,114,141,42,106,99,60,53,82,25,2,19,127,137,39,18,594,33,78,52,34.8,20.8,69,2.6,5.9,0,1.3,1.4,8899,4,2042
Joshua Primo,12,2021,33,44,43,113,34,26,4,15,3,0,31,70,25,16,9,244,30,78,88.8,22.5,18.1,41,6.2,13.2,0,0.9,2.4,1076,3,1268
Dereck Lively II,12,2023,21,35,2,13,20,21,1,7,54,1,72,112,37,17,83,177,34,85,100,20.6,19,23,5.4,11.7,0,5.3,1.9,2691,3,1143
Markieff Morris,13,2011,103,153,25,59,81,37,42,62,47,3,103,213,53,30,43,518,38,82,76.6,24.4,21.4,78,6.1,18.9,0,-1.7,0.9,19352,14,1608
Ed Davis,13,2010,87,132,0,0,16,7,61,71,26,1,66,154,22,10,64,309,23,82,98.2,27.9,20.2,46,5.9,7.8,0,-1.8,1,13988,12,1198
Kelly Olynyk,13,2013,131,168,9,29,127,57,48,43,25,3,75,150,52,21,35,560,31,84,0,26.5,21.8,75,4.6,17.8,0,0.2,0.9,19095,13,1308
Kendall Marshall,13,2012,55,79,28,79,35,18,42,51,0,0,6,88,351,43,6,293,36,76,94.8,33,20.4,101,5.5,16.6,0,-1.8,1.8,3068,4,2142
Zach LaVine,13,2014,47,68,48,128,30,35,28,40,21,4,18,76,66,33,6,349,37,77,90,24.4,18.9,42,5.2,12.8,0,-1.3,0.9,22605,12,1584
Devin Booker,13,2015,53,64,58,141,34,16,35,53,8,1,17,59,42,17,2,381,38,78,95.8,21.5,18.3,37,6.5,25.2,0,2.6,0.9,26950,11,1298
Donovan Mitchell,13,2017,87,108,80,226,55,48,37,64,9,4,37,128,93,70,17,529,34,75,94.4,32.3,20.4,56,8,15.9,0,2.8,1,22787,9,1864
Jerome Robinson,13,2018,146,176,81,198,86,58,71,90,12,1,18,108,116,30,5,727,35,77,38.6,36,20.9,96,5.5,5.7,0,-3,2.1,1739,4,2206
Tyler Herro,13,2019,87,93,60,169,52,27,70,80,4,1,15,151,92,41,12,519,37,77,92.8,32.6,19,60,7.7,16.3,0,-0.2,1.1,14319,7,2021
Kira Lewis Jr.,13,2020,105,131,56,154,111,86,33,60,6,0,26,122,162,56,18,573,31,75,92.4,37.6,18.8,110,5.2,6.5,0,-0.9,2.1,1758,4,2215
Chris Duarte,13,2021,64,79,61,144,49,26,36,31,14,1,20,101,68,50,21,445,26,78,52.8,34.1,23.6,59,5.7,9.7,1,-2.5,1.8,3206,4,1504
Jalen Duren,13,2022,65,104,0,1,41,35,30,53,70,6,86,150,37,24,61,347,29,83,99.4,25.3,18.2,65,5.6,10.2,0,3.4,1.5,7478,4,1295
Devin Carter,13,2024,130,174,84,223,92,63,17,42,26,0,33,253,120,58,32,652,33,75,83.2,35.3,21.8,89,6.2,7.1,0,-0.7,2.5,1115,2,1991
Gradey Dick,13,2023,76,89,83,206,47,38,29,58,15,1,40,145,60,52,9,507,36,80,96.2,32.7,19.2,45,8.2,12.9,0,-1.1,1.7,3913,3,2063
Derik Queen,13,2025,167,218,7,35,117,71,47,86,39,4,84,239,67,39,39,594,36,82,97.6,30.4,20.1,85,7.1,16.6,0,-0.2,2.2,2004,1,1918
Patrick Patterson,14,2010,90,130,24,69,71,24,50,77,65,5,116,167,36,27,51,544,38,81,98.2,33,21.3,41,5.8,16.6,0,-0.9,1,15935,11,2197
Marcus Morris,14,2011,148,215,26,76,83,31,100,98,31,2,99,191,62,32,24,654,38,81,77.6,28.3,21.4,67,6.1,18.9,0,-1.3,0.8,24053,13,1871
John Henson,14,2012,69,135,0,0,28,30,122,173,55,2,89,259,44,20,101,479,35,83,99.2,29.1,21.1,45,5.8,16.6,0,-4,1.3,8901,8,1834
Shabazz Muhammad,14,2013,128,180,40,106,55,43,82,144,24,2,87,80,27,23,4,572,32,78,99.8,30.8,20.2,51,6.3,8.5,0,-3.9,1.6,4780,5,1706
T.J. Warren,14,2014,156,226,31,116,155,59,120,166,37,0,113,137,40,63,21,871,35,80,95.6,35.4,20.4,83,5,5.6,0,-0.9,1.2,10571,9,2008
Denzel Valentine,14,2016,81,95,104,234,33,21,63,85,5,2,25,208,241,32,7,595,31,77,77.8,33,22.2,85,5.2,17.7,0,-2.2,1.6,4803,5,1702
Cameron Payne,14,2015,126,161,82,220,50,34,96,112,3,0,20,102,197,64,16,667,33,74,28.4,32.2,20.5,82,-0.9,8,0,-1.1,1.2,9665,11,1808
Edrice Adebayo,14,2017,154,236,0,1,39,41,32,67,99,6,118,186,32,26,57,494,38,82,98.4,30.1,19.5,64,7.3,16.5,0,2,1,22247,9,2113
Michael Porter Jr.,14,2018,7,9,3,10,7,6,0,7,0,0,4,16,1,3,1,30,3,82,99.8,17.7,19.7,3,8.3,8.5,0,0.5,1.2,13944,7,87
Romeo Langford,14,2019,140,194,34,125,81,43,52,80,10,4,45,127,75,25,26,528,32,78,98.8,34.1,19.2,68,6.8,7.8,0,-2.1,1.9,2419,4,1852
Ochai Agbaji,14,2022,113,152,103,253,82,41,36,90,37,4,32,165,62,36,22,732,39,77,73.6,35.1,21.8,80,8.3,16.4,0,-2,1.5,5558,4,2369
Aaron Nesmith,14,2020,52,63,60,115,23,23,16,22,6,0,11,57,13,20,12,322,14,78,87.4,35.7,20.2,24,0.6,-0.8,0,0,1.3,8724,6,878
Moses Moody,14,2021,151,186,58,162,52,47,45,69,10,1,64,120,50,32,21,539,32,78,91.4,33.8,18.7,52,5.3,12.1,0,0,1.5,6149,5,2030
Jordan Hawkins,14,2023,125,141,109,281,40,36,24,51,9,4,36,104,47,26,19,598,37,77,90.2,29.4,20.8,50,6,17.4,0,-4.3,1.8,3182,3,1848
Carlton Carrington,14,2024,73,93,65,202,26,24,66,66,2,0,16,155,136,19,8,456,33,77,76.2,33.2,18.5,64,4.2,9.6,0,-2.2,1.8,4680,2,1831
Carter Bryant,14,2025,41,59,39,105,16,10,9,19,17,0,32,120,36,35,37,242,37,80,95.8,19.3,19.2,37,9.5,15.4,0,0.7,2.6,798,1,1260
Larry Sanders,15,2010,107,167,4,16,78,58,55,97,59,4,106,213,34,26,90,503,35,83,29.4,26.9,21.3,58,2,9.7,0,-2.1,1.6,4707,6,1594
Kawhi Leonard,15,2011,110,145,23,81,59,20,97,175,19,0,108,256,87,50,20,529,34,78,88.8,33,19.6,75,5.4,15.6,0,6.7,0.8,30164,14,1781
Adreian Payne,15,2014,109,138,44,104,36,26,60,86,38,4,48,177,41,15,28,509,31,82,95.8,28.1,22.9,63,6.4,14.2,0,-4.5,2.3,1385,4,1449
Moe Harkless,15,2012,94,139,17,79,84,66,49,103,43,3,88,188,47,51,45,497,32,80,92.8,36.1,18.7,80,5.3,0.1,0,-1.8,1,14721,10,1939
Kelly Oubre,15,2015,79,110,34,95,31,24,28,47,17,5,41,138,28,41,13,333,36,79,98.8,21,19.2,43,9.3,13.4,0,-1.7,0.9,19760,11,1267
Corey Kispert,15,2021,86,98,91,207,89,32,20,38,9,0,30,129,58,29,14,595,32,79,79,31.8,21.9,42,4.4,19.7,0,-2.3,1.3,8562,5,1886
Troy Brown,15,2018,78,105,32,110,72,46,26,51,13,4,53,164,111,55,7,396,35,79,97.6,31.2,18.5,86,2.7,6.6,0,-1.4,1.3,6900,6,1892
Cole Anthony,15,2020,96,128,49,141,34,32,45,90,3,0,10,115,87,29,6,407,22,75,99.4,34.9,19.7,77,6.8,4.5,0,-0.9,1.3,8535,6,1351
Mark Williams,15,2022,56,77,0,1,75,43,20,26,96,5,101,190,34,20,109,438,39,84,94.8,23.6,20.1,36,5.5,14.7,0,-0.3,1.7,3881,4,1573
Kobe Bufkin,15,2023,73,86,43,121,74,38,44,69,12,1,25,124,96,43,23,462,33,76,91.4,34,19.3,64,5.9,7.8,0,-1.9,2.8,441,3,1886
Kel'el Ware,15,2024,85,134,17,40,54,36,54,68,63,5,63,233,45,18,56,478,30,84,98.2,32.1,19.7,47,6.6,3.5,0,1.3,1.9,3175,2,1662
Nikola Vucevic,16,2011,123,163,29,83,77,37,89,116,20,4,97,253,54,18,47,582,34,82,44,34.9,20.2,58,5.3,8.3,0,1.1,0.9,32606,15,1906
Luke Babbitt,16,2010,195,212,42,100,60,43,131,147,12,0,68,225,70,33,26,727,33,81,96.6,37.5,20.3,79,3.3,5.6,0,-2.5,1.5,5318,8,2176
Royce White,16,2012,102,205,4,12,83,46,42,98,46,1,85,231,170,40,32,456,34,80,95,31.5,20.8,130,6.1,9.8,0,-0.7,3.2,9,1,1797
Terry Rozier,16,2015,139,176,48,157,70,66,88,130,8,1,43,157,108,72,6,615,36,73,94.2,35,20.9,79,7.5,14.3,0,-2,1,19510,10,2048
Justin Patton,16,2017,43,83,8,14,93,35,27,50,67,1,57,154,40,29,49,440,34,84,83.2,25.3,19.6,59,5.7,11,0,-1.7,2.8,298,4,1558
Chuma Okeke,16,2019,65,90,54,139,69,38,20,44,24,2,103,150,71,67,45,444,37,80,90.8,29.1,20.4,63,7,14.9,0,-2.1,1.7,4039,5,1876
Zhaire Smith,16,2018,91,127,18,40,48,61,25,32,63,7,79,102,64,43,38,415,37,77,61.4,28.4,18.7,42,7,14,0,1.1,3,150,2,1787
Isaiah Stewart,16,2020,154,199,5,20,108,55,53,71,26,4,88,193,27,17,67,543,32,81,99.6,32.3,18.7,71,5.5,7.8,0,0.2,1.4,8769,6,1807
